;0;1;2;3;4;teams;date
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/january/7
1;Edward;Zeus;flamie;s1mple;electroNic;Natus Vincere;2019/january/7
2;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/january/7
3;FalleN;tarik;fer;coldzera;TACO;MIBR;2019/january/7
4;oskar;chrisJ;suNny;STYKO;ropz;MOUZ;2019/january/7
5;f0rest;GeT_RiGhT;dennis;Lekr0;REZ;Ninjas in Pyjamas;2019/january/7
6;AdreN;olofmeister;GuardiaN;NiKo;rain;FaZe;2019/january/7
7;daps;FugLy;Brehze;Ethan;CeRq;NRG;2019/january/7
8;Xizt;JW;twist;KRIMZ;Brollan;fnatic;2019/january/7
9;cadiaN;aizy;Kjaerbye;gade;valde;North;2019/january/7
10;gob b;tabseN;tiziaN;XANTARES;smooya;BIG;2019/january/7
11;allu;Aerial;xseveN;Aleksib;sergej;ENCE;2019/january/7
12;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/january/7
13;flusha;kioShiMa;RUSH;autimatic;Zellsis;Cloud9;2019/january/7
14;ANGE1;HObbit;woxic;DeadFox;ISSAA;HellRaisers;2019/january/7
15;MODDII;friberg;AcilioN;es3tag;mertz;Heroic;2019/january/7
16;JACKZ;shox;kennyS;bodyy;Lucky;G2;2019/january/7
17;fitch;buster;KrizzeN;Qikert;Jame;AVANGAR;2019/january/7
18;Snappi;cajunb;JUGi;k0nfig;refrezh;OpTic;2019/january/7
19;steel;koosta;Subroza;WARDELL;neptune;Ghost;2019/january/7
20;NBK-;RpK;apEX;ALEX;ZywOo;Vitality;2019/january/7
21;tonyblack;chopper;jR;hutji;crush;Vega Squadron;2019/january/7
22;to1nou;devoduvek;LOGAN;;;LDLC;2019/january/7
23;steel;HEN1;LUCAS1;boltz;NEKIZ;Luminosity;2019/january/7
24;Detrony;ELUSIVE;Sonic;Fadey;JT;Bravado;2019/january/7
25;Summer;BnTeT;Attacker;somebody;xccurate;TYLOO;2019/january/7
26;nak;exit;leo_drk;RCF;jnt;Sharks;2019/january/7
27;BARBARR;Baaten;ZINKEN;nawwk;Plopski;x6tence Galaxy;2019/january/7
28;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/january/7
29;bubble;v1c7oR;blocker;SHiPZ;poizon;Windigo;2019/january/7
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/january/14
1;Edward;Zeus;flamie;s1mple;electroNic;Natus Vincere;2019/january/14
