;0;1;2;3;4;teams;date
19;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/august/26
20;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/august/26
21;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/august/26
22;cajunb;MSL;k0nfig;niko;TeSeS;OpTic;2019/august/26
23;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/august/26
24;bubble;Calyx;hAdji;SHiPZ;poizon;Windigo;2019/august/26
25;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/august/26
26;ShahZaM;dephh;Rickeh;SicK;oBo;Complexity;2019/august/26
27;dennis;ScreaM;HS;hampus;nawwk;GamerLegion;2019/august/26
28;t0rick;Ramz1kBO$$;neaLaN;Keoz;Perfecto;Syman;2019/august/26
29;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/august/26
0;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/september/2
1;NBK-;RpK;apEX;ALEX;ZywOo;Vitality;2019/september/2
2;allu;Aerial;xseveN;Aleksib;sergej;ENCE;2019/september/2
3;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/september/2
4;stanislaw;tarik;Brehze;Ethan;CeRq;NRG;2019/september/2
5;Zeus;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/september/2
6;JACKZ;shox;kennyS;AMANEK;Lucky;G2;2019/september/2
7;NEO;olofmeister;GuardiaN;NiKo;rain;FaZe;2019/september/2
8;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/september/2
9;arT;yuurih;VINI;KSCERATO;ableJ;FURIA;2019/september/2
10;aizy;Kjaerbye;JUGi;gade;valde;North;2019/september/2
11;FalleN;zews;fer;LUCAS1;TACO;MIBR;2019/september/2
12;huNter-;LETN1;nexa;ottoNd;EspiranTo;CR4ZY;2019/september/2
13;f0rest;GeT_RiGhT;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/september/2
14;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/september/2
15;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/september/2
16;Snappi;es3tag;b0RUP;stavn;blameF;Heroic;2019/september/2
17;Sico;dexter;erkaSt;malta;DickStacy;Grayhound;2019/september/2
18;JW;KRIMZ;Brollan;;;fnatic;2019/september/2
19;kinqie;svyat;Krad;speed4k;Forester;DreamEaters;2019/september/2
20;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/september/2
21;cajunb;MSL;k0nfig;niko;TeSeS;OpTic;2019/september/2
22;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/september/2
23;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/september/2
24;ShahZaM;dephh;Rickeh;SicK;oBo;Complexity;2019/september/2
25;dennis;ScreaM;HS;hampus;nawwk;GamerLegion;2019/september/2
26;t0rick;Ramz1kBO$$;neaLaN;Keoz;Perfecto;Syman;2019/september/2
27;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/september/2
28;Summer;BnTeT;Attacker;somebody;Freeman;TYLOO;2019/september/2
29;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/september/2
0;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/september/9
1;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/september/9
2;stanislaw;tarik;Brehze;Ethan;CeRq;NRG;2019/september/9
3;RpK;apEX;ALEX;ZywOo;;Vitality;2019/september/9
4;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/september/9
5;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/september/9
6;Zeus;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/september/9
7;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/september/9
8;JACKZ;shox;kennyS;AMANEK;Lucky;G2;2019/september/9
9;NEO;olofmeister;GuardiaN;NiKo;rain;FaZe;2019/september/9
10;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/september/9
11;huNter-;LETN1;nexa;ottoNd;EspiranTo;CR4ZY;2019/september/9
12;aizy;Kjaerbye;JUGi;gade;valde;North;2019/september/9
13;arT;yuurih;VINI;KSCERATO;ableJ;FURIA;2019/september/9
14;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/september/9
15;f0rest;GeT_RiGhT;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/september/9
16;Snappi;es3tag;b0RUP;stavn;blameF;Heroic;2019/september/9
17;Sico;dexter;erkaSt;malta;DickStacy;Grayhound;2019/september/9
18;kinqie;svyat;Krad;speed4k;Forester;DreamEaters;2019/september/9
19;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/september/9
20;JW;KRIMZ;Brollan;;;fnatic;2019/september/9
21;cajunb;MSL;k0nfig;niko;TeSeS;OpTic;2019/september/9
22;t0rick;Ramz1kBO$$;neaLaN;Keoz;Perfecto;Syman;2019/september/9
23;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/september/9
24;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/september/9
25;ShahZaM;dephh;Rickeh;SicK;oBo;Complexity;2019/september/9
26;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/september/9
27;Davidp;LOGAN;Maka;JiNKZ;jeyN;Heretics;2019/september/9
28;Summer;BnTeT;somebody;Freeman;DANK1NG;TYLOO;2019/september/9
29;xand;DeStiNy;yel;chelo;;INTZ;2019/september/9
0;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/september/16
1;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/september/16
2;stanislaw;tarik;Brehze;Ethan;CeRq;NRG;2019/september/16
3;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/september/16
4;RpK;apEX;ALEX;ZywOo;;Vitality;2019/september/16
5;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/september/16
6;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/september/16
7;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/september/16
8;JACKZ;shox;kennyS;AMANEK;Lucky;G2;2019/september/16
9;flamie;s1mple;electroNic;Boombl4;;Natus Vincere;2019/september/16
10;olofmeister;GuardiaN;NiKo;rain;;FaZe;2019/september/16
11;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/september/16
12;arT;yuurih;VINI;KSCERATO;ableJ;FURIA;2019/september/16
13;aizy;Kjaerbye;JUGi;gade;valde;North;2019/september/16
14;f0rest;GeT_RiGhT;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/september/16
15;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/september/16
16;huNter-;LETN1;nexa;ottoNd;EspiranTo;CR4ZY;2019/september/16
17;kinqie;svyat;Krad;speed4k;Forester;DreamEaters;2019/september/16
18;Snappi;es3tag;b0RUP;stavn;blameF;Heroic;2019/september/16
19;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/september/16
20;cajunb;MSL;k0nfig;niko;TeSeS;OpTic;2019/september/16
21;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/september/16
22;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/september/16
23;t0rick;Ramz1kBO$$;neaLaN;Keoz;Perfecto;Syman;2019/september/16
24;Davidp;LOGAN;Maka;JiNKZ;jeyN;Heretics;2019/september/16
25;dennis;ScreaM;HS;hampus;nawwk;GamerLegion;2019/september/16
26;Summer;BnTeT;somebody;Freeman;DANK1NG;TYLOO;2019/september/16
27;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/september/16
28;ShahZaM;dephh;SicK;oBo;;Complexity;2019/september/16
29;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/september/16
0;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/september/23
1;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/september/23
2;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/september/23
3;stanislaw;tarik;Brehze;Ethan;CeRq;NRG;2019/september/23
4;RpK;apEX;ALEX;ZywOo;;Vitality;2019/september/23
5;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/september/23
6;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/september/23
7;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/september/23
8;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/september/23
9;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/september/23
10;aizy;Kjaerbye;JUGi;gade;valde;North;2019/september/23
11;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/september/23
12;JACKZ;kioShiMa;kennyS;AMANEK;Lucky;G2;2019/september/23
13;f0rest;GeT_RiGhT;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/september/23
14;olofmeister;NiKo;rain;broky;;FaZe;2019/september/23
15;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/september/23
16;huNter-;LETN1;nexa;ottoNd;EspiranTo;CR4ZY;2019/september/23
17;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/september/23
18;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/september/23
19;kinqie;svyat;Krad;speed4k;Forester;DreamEaters;2019/september/23
20;Snappi;es3tag;b0RUP;stavn;blameF;Heroic;2019/september/23
21;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/september/23
22;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/september/23
23;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/september/23
24;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/september/23
25;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/september/23
26;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/september/23
27;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/september/23
28;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/september/23
29;dennis;hampus;RuStY;nawwk;;GamerLegion;2019/september/23
0;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/september/30
1;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/september/30
2;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/september/30
3;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/september/30
4;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/september/30
5;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/september/30
6;JACKZ;kioShiMa;kennyS;AMANEK;Lucky;G2;2019/september/30
7;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/september/30
8;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/september/30
9;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/september/30
10;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/september/30
11;aizy;Kjaerbye;JUGi;gade;valde;North;2019/september/30
12;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/september/30
13;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/september/30
14;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/september/30
15;huNter-;LETN1;nexa;ottoNd;EspiranTo;CR4ZY;2019/september/30
16;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/september/30
17;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/september/30
18;cajunb;MSL;k0nfig;niko;TeSeS;OpTic;2019/september/30
19;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/september/30
20;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/september/30
21;kinqie;svyat;Krad;speed4k;Forester;DreamEaters;2019/september/30
22;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/september/30
23;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/september/30
24;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/september/30
25;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/september/30
26;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/september/30
27;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/september/30
28;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/september/30
29;dennis;hampus;RuStY;nawwk;;GamerLegion;2019/september/30
0;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/september/31
1;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/september/31
2;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/september/31
3;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/september/31
4;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/september/31
5;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/september/31
6;JACKZ;kioShiMa;kennyS;AMANEK;Lucky;G2;2019/september/31
7;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/september/31
8;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/september/31
9;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/september/31
10;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/september/31
11;aizy;Kjaerbye;JUGi;gade;valde;North;2019/september/31
12;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/september/31
13;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/september/31
14;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/september/31
15;huNter-;LETN1;nexa;ottoNd;EspiranTo;CR4ZY;2019/september/31
16;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/september/31
17;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/september/31
18;cajunb;MSL;k0nfig;niko;TeSeS;OpTic;2019/september/31
19;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/september/31
20;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/september/31
21;kinqie;svyat;Krad;speed4k;Forester;DreamEaters;2019/september/31
22;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/september/31
23;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/september/31
24;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/september/31
25;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/september/31
26;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/september/31
27;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/september/31
28;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/september/31
29;dennis;hampus;RuStY;nawwk;;GamerLegion;2019/september/31
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/october/7
1;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/october/7
2;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/october/7
3;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/october/7
4;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/october/7
5;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/october/7
6;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/october/7
7;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/october/7
8;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/october/7
9;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/october/7
10;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/october/7
11;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/october/7
12;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/october/7
13;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/october/7
14;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/october/7
15;aizy;Kjaerbye;JUGi;gade;valde;North;2019/october/7
16;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/october/7
17;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/october/7
18;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/october/7
19;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/october/7
20;MSL;k0nfig;niko;TeSeS;;OpTic;2019/october/7
21;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/october/7
22;kinqie;svyat;Krad;speed4k;Forester;DreamEaters;2019/october/7
23;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/october/7
24;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/october/7
25;mixwell;daps;autimatic;koosta;TenZ;Cloud9;2019/october/7
26;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/october/7
27;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/october/7
28;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/october/7
29;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/october/7
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/october/14
1;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/october/14
2;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/october/14
3;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/october/14
4;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/october/14
5;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/october/14
6;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/october/14
7;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/october/14
8;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/october/14
9;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/october/14
10;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/october/14
11;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/october/14
12;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/october/14
13;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/october/14
14;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/october/14
15;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/october/14
16;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/october/14
17;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/october/14
18;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/october/14
19;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/october/14
20;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/october/14
21;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/october/14
22;kinqie;svyat;Krad;speed4k;Forester;Hard Legion;2019/october/14
23;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/october/14
24;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/october/14
25;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/october/14
26;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/october/14
27;FugLy;ANDROID;Nifty;ryann;s0m;Envy;2019/october/14
28;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/october/14
29;Ramz1kBO$$;neaLaN;Keoz;n0rb3r7;Perfecto;Syman;2019/october/14
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/october/21
1;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/october/21
2;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/october/21
3;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/october/21
4;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/october/21
5;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/october/21
6;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/october/21
7;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/october/21
8;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/october/21
9;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/october/21
10;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/october/21
11;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/october/21
12;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/october/21
13;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/october/21
14;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/october/21
15;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/october/21
16;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/october/21
17;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/october/21
18;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/october/21
19;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/october/21
20;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/october/21
21;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/october/21
22;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/october/21
23;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/october/21
24;kinqie;svyat;Krad;speed4k;Forester;Hard Legion;2019/october/21
25;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/october/21
26;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/october/21
27;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/october/21
28;FugLy;ANDROID;Nifty;ryann;s0m;Envy;2019/october/21
29;sAw;ZOREE;sLowi;doto;hoody;HAVU;2019/october/21
0;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/october/28
1;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/october/28
2;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/october/28
3;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/october/28
4;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/october/28
5;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/october/28
6;jks;AZR;jkaem;Gratisfaction;Liazz;Renegades;2019/october/28
7;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/october/28
8;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/october/28
9;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/october/28
10;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/october/28
11;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/october/28
12;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/october/28
13;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/october/28
14;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/october/28
15;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/october/28
16;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/october/28
17;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/october/28
18;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/october/28
19;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/october/28
20;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/october/28
21;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/october/28
22;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/october/28
23;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/october/28
24;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/october/28
25;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/october/28
26;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/october/28
27;FugLy;ANDROID;Nifty;ryann;s0m;Envy;2019/october/28
28;kinqie;svyat;Krad;speed4k;Forester;Hard Legion;2019/october/28
29;sAw;ZOREE;sLowi;doto;hoody;HAVU;2019/october/28
0;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/november/4
1;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/november/4
2;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/november/4
3;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/november/4
4;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/november/4
5;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/november/4
6;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/november/4
7;jks;AZR;jkaem;Gratisfaction;Liazz;100 Thieves;2019/november/4
8;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/november/4
9;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/november/4
10;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/november/4
11;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/november/4
12;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/november/4
13;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/november/4
14;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/november/4
15;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/november/4
16;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/november/4
17;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/november/4
18;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/november/4
19;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/november/4
20;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/november/4
21;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/november/4
22;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/november/4
23;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/november/4
24;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/november/4
25;TaZ;MINISE;rallen;mouz;dycha;Aristocracy;2019/november/4
26;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/november/4
27;FugLy;ANDROID;Nifty;ryann;s0m;Envy;2019/november/4
28;kinqie;svyat;Krad;speed4k;Forester;Hard Legion;2019/november/4
29;sAw;ZOREE;sLowi;doto;hoody;HAVU;2019/november/4
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/november/11
1;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/november/11
2;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/november/11
3;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/november/11
4;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/november/11
5;jks;AZR;jkaem;Gratisfaction;Liazz;100 Thieves;2019/november/11
6;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/november/11
7;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/november/11
8;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/november/11
9;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/november/11
10;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/november/11
11;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/november/11
12;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/november/11
13;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/november/11
14;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/november/11
15;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/november/11
16;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/november/11
17;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/november/11
18;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/november/11
19;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/november/11
20;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/november/11
